image                | ahash                                                               | hamming distance
---------------------------------------------------------------------------------------------------------
adapt_filter         | 1011111010011110100111011010100110001011101000110000111000101100    | 1   
contrast             | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
equalization         | 1010011010011110100111011000100110101011101000110000111000101100    | 3   
gaussian             | 1010011010011110100111011010100110001011101000111000111000101100    | 4   
gaussian_manual      | 1001110010011110101111001010100110101011101000010010100100110100    | 11  
grayscale_adjust     | 1011111010111110100111011010100110101011101000110000111000101100    | 1   
jpg_quality1.jpg     | 1011111010111110100111011010100110001011101000110000101000001100    | 4   
jpg_quality10.jpg    | 1011111010011110100111011010100111001011101000110010111000001100    | 4   
jpg_quality15.jpg    | 1011111010011110100111011010100110101011101000110010111000101100    | 1   
jpg_quality30.jpg    | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
jpg_quality5.jpg     | 1011111010011110100111011010100111101011101000110010111000101100    | 2   
jpg_quality50.jpg    | 1011111010011110100111011010100110001011101000110000111000101100    | 1   
jpg_quality70.jpg    | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
jpg_quality90.jpg    | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
mean_filter          | 1011111010011110100111011010100111001011101000110010111000101100    | 3   
median_filter        | 1011011010011110100111011010100110101011101000110000101000101100    | 2   
poisson              | 1011011010011110100111011000100110101011101000110000111000101100    | 2   
py_blur              | 1011111010011110100111011010100111001011101000110010111000001100    | 4   
py_equalization      | 1010011010011110100111011000100110101011101000110000111000101100    | 3   
py_gauss_filter      | 1011111010011110100111011010100110001011101000110010111000001100    | 3   
py_median_filter     | 1011111010011110100111011010100110001011101000110010111000001100    | 3   
py_resize_0.9        | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
py_resize_1.1        | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
py_rotate_90         | 0011110011001110111000011111101111100000100101100000000011111100    | 26  
py_smooth            | 1011111010011110100111011010100111001011101000110010111000001100    | 4   
resize_0.8           | 1011111010011110100111011010100110001011101000110010111000101100    | 2   
resize_1.2           | 1011111010011110100111011010100110101011101000110000111000101100    | 0   
rotate_90            | 0011110011001110111000111111101111100000100111010000000011111100    | 28  
saltpepper           | 1011111010011010100111010010100110101011101000110000111000101100    | 2   
saltpepper_manual    | 1011111010111010100111011010100110100011101000110000111000101100    | 3   

image                | phash                                                               | hamming distance
---------------------------------------------------------------------------------------------------------
adapt_filter         | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
contrast             | 1001100111000100010101000010010101110000001000111010001010010000    | 3   
equalization         | 1001100111000100010101000010010101110001001000111000001010010000    | 3   
gaussian             | 1001100111000100010101000010010101100000001000111000001000000000    | 1   
gaussian_manual      | 1001100111000100010101000010010100000000001000011000000000010000    | 6   
grayscale_adjust     | 1001100011000000000101000010000000000000001000010000000000000000    | 11  
jpg_quality1.jpg     | 1001100111000100010101000010010101110000001000111010001010010000    | 3   
jpg_quality10.jpg    | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
jpg_quality15.jpg    | 1001100111000100010101000010010101100000001000111000001010010000    | 1   
jpg_quality30.jpg    | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
jpg_quality5.jpg     | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
jpg_quality50.jpg    | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
jpg_quality70.jpg    | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
jpg_quality90.jpg    | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
mean_filter          | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
median_filter        | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
poisson              | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
py_blur              | 1001100111000100010101000010010101000000001000111000001010000000    | 1   
py_equalization      | 1001100111000100010101000010010101110000001000111000001010010000    | 2   
py_gauss_filter      | 1001100111000100010101000010010101000000001000111000001010000000    | 1   
py_median_filter     | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
py_resize_0.9        | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
py_resize_1.1        | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
py_rotate_90         | 1100001110010011000111100101000010000000100001000100011001000011    | 32  
py_smooth            | 1001100111000100010101000010010101000000001000111000001010000000    | 1   
resize_0.8           | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
resize_1.2           | 1001100111000100010101000010010101100000001000111000001010000000    | 0   
rotate_90            | 1100001110010011000111100101000010000000100001000000011001000011    | 31  
saltpepper           | 1001100111000110010101000010010101000000001000111000001010000000    | 2   
saltpepper_manual    | 1001100111000100010101000010010101100000001000011000001010000000    | 1   

